"movie,year,metascore,imdb,tmeter,audience,fandango,n_metascore,n_imdb,n_tmeter,n_audience,nr_metascore,nr_imdb,nr_tmeter,nr_audience,decade,composite_score,metascore_imdb_diff"
"Cafe Society,2016,64,6.7,70,58,3.5,3.2,3.35,3.5,2.9,3.0,3.5,3.5,3.0,2010,3.2375000000000003,-3.0"
"Captain America: Civil War,2016,75,7.9,90,89,4.5,3.75,3.95,4.5,4.45,4.0,4.0,4.5,4.5,2010,4.1625,-4.0"
"Captain Fantastic,2016,72,7.9,83,85,4.0,3.6,3.95,4.15,4.25,3.5,4.0,4.0,4.0,2010,3.9875000000000003,-7.0"
"Cell,2016,38,4.3,11,16,3.0,1.9,2.15,0.55,0.8,2.0,2.0,0.5,1.0,2010,1.3499999999999999,-5.0"
"Central Intelligence,2016,52,6.3,69,61,4.5,2.6,3.15,3.45,3.05,2.5,3.0,3.5,3.0,2010,3.0625,-11.0"
"Collateral Beauty,2016,23,6.7,12,66,4.0,1.15,3.35,0.6,3.3,1.0,3.5,0.5,3.5,2010,2.0999999999999996,-44.0"
"Collide,2016,33,5.7,19,39,3.5,1.65,2.85,0.95,1.95,1.5,3.0,1.0,2.0,2010,1.85,-24.0"
"Come and Find Me,2016,46,5.7,67,31,4.0,2.3,2.85,3.35,1.55,2.5,3.0,3.5,1.5,2010,2.5125,-11.0"
"Criminal,2016,37,6.3,30,48,4.0,1.85,3.15,1.5,2.4,2.0,3.0,1.5,2.5,2010,2.225,-26.0"
"Crouching Tiger, Hidden Dragon: Sword of Destiny,2016,47,6.1,19,38,4.0,2.35,3.05,0.95,1.9,2.5,3.0,1.0,2.0,2010,2.0625,-14.0"
"Deadpool,2016,65,8.1,84,90,4.5,3.25,4.05,4.2,4.5,3.0,4.0,4.0,4.5,2010,4.0,-16.0"
"Deepwater Horizon,2016,68,7.2,84,83,4.5,3.4,3.6,4.2,4.15,3.5,3.5,4.0,4.0,2010,3.8375,-4.0"
"Dirty Grandpa,2016,18,6.0,11,45,3.5,0.9,3.0,0.55,2.25,1.0,3.0,0.5,2.0,2010,1.675,-42.0"
"Doctor Strange,2016,72,7.7,90,87,4.5,3.6,3.85,4.5,4.35,3.5,4.0,4.5,4.5,2010,4.074999999999999,-5.0"
"Don't Breathe,2016,71,7.2,87,79,4.0,3.55,3.6,4.35,3.95,3.5,3.5,4.5,4.0,2010,3.8625,-1.0"
"Eddie the Eagle,2016,54,7.4,80,82,4.5,2.7,3.7,4.0,4.1,2.5,3.5,4.0,4.0,2010,3.625,-20.0"
"Elle,2016,89,7.3,90,74,3.5,4.45,3.65,4.5,3.7,4.5,3.5,4.5,3.5,2010,4.075,16.0"
"Elvis & Nixon,2016,59,6.4,76,58,3.5,2.95,3.2,3.8,2.9,3.0,3.0,4.0,3.0,2010,3.2125,-5.0"
"Everybody Loves Somebody,2017,74,6.6,93,76,4.0,3.7,3.3,4.65,3.8,3.5,3.5,4.5,4.0,2010,3.8625,8.0"
"Everybody Wants Some!!,2016,83,7.0,86,69,3.5,4.15,3.5,4.3,3.45,4.0,3.5,4.5,3.5,2010,3.8499999999999996,13.0"
"Exposed,2016,23,4.2,5,13,2.5,1.15,2.1,0.25,0.65,1.0,2.0,0.0,0.5,2010,1.0375,-19.0"
"Fantastic Beasts and Where to Find Them,2016,66,7.5,73,81,4.5,3.3,3.75,3.65,4.05,3.5,4.0,3.5,4.0,2010,3.6875,-9.0"
"Fences,2016,79,7.3,93,78,4.0,3.95,3.65,4.65,3.9,4.0,3.5,4.5,4.0,2010,4.0375,6.0"
"Fifty Shades Darker,2017,33,4.8,9,53,4.5,1.65,2.4,0.45,2.65,1.5,2.5,0.5,2.5,2010,1.7875,-15.0"
"Fifty Shades of Black,2016,28,3.5,7,19,2.5,1.4,1.75,0.35,0.95,1.5,2.0,0.5,1.0,2010,1.1125,-7.0"
"Finding Dory,2016,77,7.4,94,85,4.5,3.85,3.7,4.7,4.25,4.0,3.5,4.5,4.0,2010,4.125,3.0"
"Fist Fight,2017,37,5.8,27,47,3.5,1.85,2.9,1.35,2.35,2.0,3.0,1.5,2.5,2010,2.1125,-21.0"
"Florence Foster Jenkins,2016,71,6.9,87,69,4.0,3.55,3.45,4.35,3.45,3.5,3.5,4.5,3.5,2010,3.7,2.0"
"Free State of Jones,2016,53,6.9,47,64,4.0,2.65,3.45,2.35,3.2,2.5,3.5,2.5,3.0,2010,2.9124999999999996,-16.0"
"Genius,2016,56,6.5,51,45,3.5,2.8,3.25,2.55,2.25,3.0,3.0,2.5,2.0,2010,2.7125,-9.0"
