"movie,year,metascore,imdb,tmeter,audience,fandango,n_metascore,n_imdb,n_tmeter,n_audience,nr_metascore,nr_imdb,nr_tmeter,nr_audience,decade,composite_score,metascore_imdb_diff"
"Live by Night,2016,49,6.4,34,44,3.5,2.45,3.2,1.7,2.2,2.5,3.0,1.5,2.0,2010,2.3875,-15.0"
"Logan,2017,77,8.5,92,93,4.5,3.85,4.25,4.6,4.65,4.0,4.0,4.5,4.5,2010,4.3375,-8.0"
"London Has Fallen,2016,28,5.9,25,52,4.5,1.4,2.95,1.25,2.6,1.5,3.0,1.0,2.5,2010,2.05,-31.0"
"Love & Friendship,2016,87,6.6,98,61,3.5,4.35,3.3,4.9,3.05,4.5,3.5,5.0,3.0,2010,3.9000000000000004,21.0"
"Loving,2016,79,7.1,89,77,4.0,3.95,3.55,4.45,3.85,4.0,3.5,4.5,4.0,2010,3.9499999999999997,8.0"
"Manchester by the Sea,2016,96,8.0,96,79,3.5,4.8,4.0,4.8,3.95,5.0,4.0,5.0,4.0,2010,4.3875,16.0"
"Manhattan Night,2016,44,6.2,30,56,3.5,2.2,3.1,1.5,2.8,2.0,3.0,1.5,3.0,2010,2.4000000000000004,-18.0"
"Marauders,2016,42,5.4,24,31,4.5,2.1,2.7,1.2,1.55,2.0,2.5,1.0,1.5,2010,1.8875000000000002,-12.0"
"Masterminds,2016,47,5.8,33,36,3.5,2.35,2.9,1.65,1.8,2.5,3.0,1.5,2.0,2010,2.1750000000000003,-11.0"
"Max Steel,2016,22,4.6,0,38,3.5,1.1,2.3,0.0,1.9,1.0,2.5,0.0,2.0,2010,1.325,-24.0"
"Me Before You,2016,51,7.4,58,73,4.5,2.55,3.7,2.9,3.65,2.5,3.5,3.0,3.5,2010,3.2,-23.0"
"Mechanic: Resurrection,2016,38,5.6,29,41,4.0,1.9,2.8,1.45,2.05,2.0,3.0,1.5,2.0,2010,2.05,-18.0"
"Midnight Special,2016,76,6.7,83,68,3.5,3.8,3.35,4.15,3.4,4.0,3.5,4.0,3.5,2010,3.6750000000000003,9.0"
"Mike and Dave Need Wedding Dates,2016,51,6.0,35,53,4.0,2.55,3.0,1.75,2.65,2.5,3.0,2.0,2.5,2010,2.4875,-9.0"
"Miracles from Heaven,2016,44,7.0,43,81,4.5,2.2,3.5,2.15,4.05,2.0,3.5,2.0,4.0,2010,2.9749999999999996,-26.0"
"Misconduct,2016,24,5.3,7,24,3.0,1.2,2.65,0.35,1.2,1.0,2.5,0.5,1.0,2010,1.3499999999999999,-29.0"
"Miss Peregrine's Home for Peculiar Children,2016,57,6.8,64,61,4.0,2.85,3.4,3.2,3.05,3.0,3.5,3.0,3.0,2010,3.125,-11.0"
"Moana,2016,81,7.7,95,90,4.5,4.05,3.85,4.75,4.5,4.0,4.0,5.0,4.5,2010,4.2875,4.0"
"Money Monster,2016,55,6.5,57,51,4.0,2.75,3.25,2.85,2.55,3.0,3.0,3.0,2.5,2010,2.8499999999999996,-10.0"
"Moonlight,2016,99,7.6,97,81,4.0,4.95,3.8,4.85,4.05,5.0,4.0,5.0,4.0,2010,4.4125,23.0"
